timestamp,text;;
"2021-05-23 15:04:01,""Ikuti Halalbihalal Virtual KKIG, Gubernur Rusli Minta Maaf Soal Larangan Mudik https://t.co/67wuVpEAyg""";;
"2021-05-23 15:03:47,""Pemerintah Yakin #Pertumbuhan #Ekonomi Capai 7% di Kuartal ke II";;
"Larangan mudik yg kembali berlaku tahun ini dipast… https://t.co/oUSF3eauiC""";;
2021-05-23 15:03:23,@jaestronawt Ada larangan mudik 😀😀😀;;
"2021-05-23 14:31:35,""#MostPopuler Larangan Mudik Berakhir, Penumpang Bus AKAP Meningkat https://t.co/k1FoFl5vuf""";;
"2021-05-23 14:26:55,""Suka mikir ga sii, ada peraturan larangan mudik atau larangan liburan";;
Trus lu marah2 inilah itulah;;
"Skrg lu liat keb… https://t.co/Ic4G9EOoNt""";;
"2021-05-23 14:25:53,""Orang orang tu lucu ya. Dibikin aturan dilarang mudik, mereka tetep maksa mudik dengan 1001 cara yang mereka punya.… https://t.co/PPwAsSPJyc""";;
2021-05-23 14:22:41,Hanya terminal Pondok Cabe tidak mengalami peningkatan https://t.co/ltAIxREz0N;;
"2021-05-23 14:11:56,""Ratusan TKA China Berdatangan di saat Mudik dilarang";;
"Sebanyak 170 lebih warga China kembali datang ke Indonesia den… https://t.co/l2rmknru41""";;
"2021-05-23 13:38:03,""Jumlah penumpang KA selama masa larangan mudik, 6-17 Mei 2021, turun drastis. https://t.co/ckC5WvGrLl""";;
"2021-05-23 13:00:02,""Polana menyebut kenaikan jumlah pengguna layanan AKAP sebesar 8,87% tercatat di Terminal Baranangsiang Bogor.";;
;;
"https://t.co/TqyA1Mlcmf""";;
"2021-05-23 12:58:43,""Maaf, pintu gerbang ditutup karena ada larangan mudik. https://t.co/Yis91YDtjY""";;
"2021-05-23 12:48:47,""Larangan Mudik Berakhir, 3 Terminal Kelolaan BPTJ Catat Kenaikan Penumpang https://t.co/Bj4cewuubk https://t.co/QWHXdmOhpM""";;
"2021-05-23 12:48:03,""Dari tempat makan dan rekreasi yang dilarang buka, hingga adanya larangan mudik dan sekarang ada wacana ASN aku WFB… https://t.co/orgz0giMUj""";;
2021-05-23 12:21:04,Paradoks: Mudik Dilarang Tempat Wisata Dibuka (Inkonsistensi Larangan Berkerumun) https://t.co/M4i3jsMHpC;;
"2021-05-23 12:07:39,""[BASRENG ADVOKASI #1]";;
;;
Bahas Bareng Advokasi #1;;
"Topik : Masuknya WNA China ke Indonesia ditengah aturan larangan mu… https://t.co/ckOuy2AiDw""";;
"2021-05-23 12:06:25,""Sebyk 170 lbh warga China kembali dtg ke Indo dg mudah, diduga dampak Omnibus Law UU Ciptaker No.11 Th 2020. Seolah… https://t.co/eZkECxtwoz""";;
"2021-05-23 12:04:37,""Meski hari ini sedang banyak beraksi utk membantu Palestina, bantuan utk Indonesia -atas izin Allah- juga tdk berhe… https://t.co/49mg8vWhDS""";;
"2021-05-23 11:57:24,""Sebanyak 170 lebih warga China kembali datang ke Indonesia dengan mudah, diduga dampak Omnibus Law UU Ciptaker No.1… https://t.co/ngH5Z5IMO1""";;
"2021-05-23 11:29:46,""Pasca-Larangan Mudik, Penumpang Bus Balik ke Jabodetabek Masih Landai #LengkapCepatBeritanya #Keuangan #Ekonomi… https://t.co/HzNGAyk5Zl""";;
"2021-05-23 11:20:22,""Ampuuuuuun dah 🤦🏻🤦🏻🤦🏻";;
;;
"https://t.co/SlxwPgiY8p""";;
"2021-05-23 11:00:00,""2 minggu kemarin mimin libur upload video karena sedikitnya jadwal KA di Malang selama masa larangan mudik. Nah, bu… https://t.co/WIbcu67Vnu""";;
"2021-05-23 10:45:51,""Larangan Mudik Berakhir, Penumpang Bus AKAP Meningkat https://t.co/fOGte1b5Dj""";;
2021-05-23 10:34:04,Peningkatan tersebut meliputi penumpang bus Antar Kota Antar Provinsi (AKAP) dan angkutan Antar Kota Dalam Provinsi… https://t.co/qsh1qNHhgT;;
"2021-05-23 10:12:02,""Larangan Mudik Berakhir, Penumpang Bus AKAP dari Jabodetabek Melonjak https://t.co/U9H9r0aBJL""";;
2021-05-23 10:08:32,Penumpang bus Antar Kota Antar Provinsi (AKAP) dan Antar Kota Dalam Provinsi (AKDP) mengalami lonjakan. https://t.co/XQNgF9iPWy;;
2021-05-23 09:48:36,@septic_teng Dari yang edaran larangan mudik tgl 6-17 Mei juga gitu deh boleh.. 🥲;;
2021-05-23 09:48:35,Pantauan Puncak Arus Balik Lebaran: Pantauan Puncak Arus Balik Lebaran. Kementerian Perhubungan memprediksi puncak… https://t.co/7u3Ln9ju6E;;
2021-05-23 09:29:02,Larangan mudik yang telah berakhir. Ikon wisata Jalan Malioboro dan Tugu pun mulai diserbu wisatawan. Seperti yang… https://t.co/HXPi3MrF18;;
"2021-05-23 09:21:22,""Misalnya di Terminal Baranangsiang Bogor, terjadi kenaikan jumlah penumpang bus AKAP sebesar 8,87%.  https://t.co/VJOCRT0l2N""";;
"2021-05-23 09:09:34,""Karena kondisi ini, ALS terpaksa menaikkan harga 10 persen dari biasanya. Dari Bandarlampung ke Medan yang biasanya… https://t.co/bZtedqiGsy""";;
"2021-05-23 08:48:27,""Sedangkan, total kendaraan yang menyeberang pada pra -larangan mudik dari Merak ke Bakauheni mencapai 125 ribu kend… https://t.co/soL6E5HY4S""";;
"2021-05-23 08:46:13,""Khofifah Pesta Ultah, Prof Nidom Singgung Larangan Mudik! https://t.co/G93LYVSVzX""";;
"2021-05-23 08:10:25,""Sebanyak 170 lebih warga China kembali datang ke Indonesia dengan mudah, diduga dampak Omnibus Law UU Ciptaker No.1… https://t.co/Sxk1pH5KFj""";;
"2021-05-23 08:08:48,""@burhanDev_ oalahhh y kan kaliaja, ohhh, ceritanya mudik belakangan setelah larangan dilepas ya 😱😱""";;
"2021-05-23 07:59:54,""Kekhawatiran akan munculnya klaster baru pada saat Lebaran meskipun larangan mudik diberlakukan, mulai terlihat. Ha… https://t.co/IwITzPOWjk""";;
2021-05-23 07:56:46,Polres Serang Gelar KRYD Pengetatan Perjalanan Usai Larangan Mudik https://t.co/ajkpRSUYEl;;
2021-05-23 07:53:44,@SGDfess_ H-3 larangan mudik;;
2021-05-23 07:49:07,Larangan mudik yang telah berakhir. Ikon wisata Jalan Malioboro dan Tugu pun mulai diserbu wisatawan. Seperti yang… https://t.co/hHVHhtmIjv;;
2021-05-23 07:45:17,Angka fatalitas laka lantas di Gresik menurun sekitar 96 persen selama masa larangan mudik 6-17 Mei 2021.… https://t.co/pYNp9P7JHn;;
"2021-05-23 07:09:59,""Melewati momen lebaran di tengah pandemi, membuat kita harus membatasi segala aktivitas di luar rumah. Pemerintah j… https://t.co/Wpsjz11hwt""";;
2021-05-23 06:54:04,@wahyuferdians14 Di lempar aja yah mau kesana tapi ada larangan mudik;;
"2021-05-23 06:10:53,""@gan_deden @infobdg Untuk penyekatan pasca larangan mudik masih ada Kang, berlaku sampai tanggal 24 Mei 2021""";;
"2021-05-23 05:53:07,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/w2pqe0mzuG""";;
"2021-05-23 05:52:59,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/ADJUQcPbkW""";;
"2021-05-23 05:52:53,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/IDOplT25wL""";;
"2021-05-23 05:52:47,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/1ae0EXPKpV""";;
"2021-05-23 05:52:37,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/r16vbc6CIU""";;
"2021-05-23 05:52:27,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/rDyPvLMhP6""";;
"2021-05-23 05:52:21,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/J4brpmvRYp""";;
"2021-05-23 05:52:16,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/uHnqh5Er3o""";;
"2021-05-23 05:52:09,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/hk1VDrSRTQ""";;
"2021-05-23 05:52:03,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/Zyv29WMd9A""";;
"2021-05-23 05:52:00,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/MZI94eNB9Y""";;
"2021-05-23 05:51:45,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/3E5TyDSa1S""";;
"2021-05-23 05:51:37,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/KA6tFD76Ya""";;
"2021-05-23 05:51:26,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/jA8V8opQGk""";;
"2021-05-23 05:51:17,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/vThylIFxmt""";;
"2021-05-23 05:51:09,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/DK0eSaidGs""";;
